"longrid","latgrid","depth"
-195.125,55.4235,-348.5
-195.125,55.5651,-202.224489795918
-194.875,55.4235,-211.879668049793
-194.875,55.5651,-204.753303964758
-194.625,55.2814,-141.620853080569
-194.625,55.4235,-142.452941176471
-194.625,55.5651,-127.939110070258
-194.375,55.1387,-131.037037037037
-194.375,55.2814,-60.8641975308642
-194.375,55.4235,-169.895652173913
-194.375,55.5651,-213.429951690821
-194.125,54.9956,-240.333333333333
-194.125,55.1387,-66.0152838427948
-194.125,55.2814,-18.0797101449275
-194.125,55.4235,-155.190476190476
-193.875,54.8519,-232.483870967742
-193.875,54.9956,-92.3697916666667
-193.875,55.1387,-17.9537037037037
-193.875,55.2814,-45.0795454545455
-193.875,55.4235,-133.537837837838
-193.625,54.5631,-335.333333333333
-193.625,54.7077,-170.010256410256
-193.625,54.9956,-69.4625850340136
-193.625,55.1387,-51.3791469194313
-193.625,55.2814,-60.3857442348008
-193.625,55.4235,-172.992537313433
-193.375,54.4178,-264.695652173913
-193.375,54.5631,-127.675392670157
-193.375,54.7077,-90.4845070422535
-193.375,54.8519,-98.3083700440529
-193.375,54.9956,-45.1607142857143
-193.375,55.1387,-86.2921568627451
-193.375,55.2814,-100.229813664596
-193.125,54.4178,-266
-193.125,54.5631,-182.191428571429
-193.125,54.7077,-122.712962962963
-193.125,54.8519,-90.8607843137255
-193.125,54.9956,-84.356862745098
-193.125,55.1387,-94.1263383297645
-193.125,55.2814,-209.846153846154
-192.875,54.4178,-200.476923076923
-192.875,54.5631,-141.137634408602
-192.875,54.7077,-114.785185185185
-192.875,54.8519,-105.303921568627
-192.875,54.9956,-77.1274900398406
-192.875,55.1387,-131.508196721311
-192.625,54.5631,-204.0625
-192.625,54.7077,-97.1611111111111
-192.625,54.8519,-51.1504424778761
-192.625,54.9956,-83.2097378277154
-192.375,54.4178,-241.987577639752
-192.375,54.5631,-105.441176470588
-192.375,54.7077,-76.5030487804878
-192.375,54.8519,-119.554502369668
-192.125,54.4178,-152.466666666667
-192.125,54.5631,-76.9392523364486
-192.125,54.7077,-82.9863945578231
-192.125,54.8519,-274.727272727273
-191.875,54.4178,-107.853658536585
-191.875,54.5631,-89.1792929292929
-191.875,54.7077,-200.604166666667
-191.625,54.1259,-332.153846153846
-191.625,54.2721,-243.388888888889
-191.625,54.4178,-98.8828451882845
-191.625,54.5631,-158.189189189189
-191.375,54.1259,-282.144927536232
-191.375,54.2721,-102.759725400458
-191.375,54.4178,-110.34126984127
-191.125,54.1259,-361.666666666667
-191.125,54.2721,-337.166666666667
-190.625,53.8318,-374.833333333333
-190.625,53.9791,-376.5
-190.375,53.8318,-375.5625
-189.375,52.9372,-305.169230769231
-189.375,53.2375,-243.543209876543
-189.375,53.3869,-261.115942028986
-189.125,52.9372,-191.316831683168
-189.125,53.0876,-157.412887828162
-189.125,53.2375,-212.197132616487
-189.125,53.3869,-339
-188.875,52.9372,-346.571428571429
-188.875,53.0876,-192.328125
-188.375,53.0876,-315.514705882353
-188.125,52.9372,-344.2
-188.125,53.0876,-243.255813953488
-187.875,52.7863,-310.267857142857
-187.875,52.9372,-311.203592814371
-187.625,52.7863,-263.56976744186
-187.625,52.9372,-193.518375241779
-187.375,52.6348,-260.470588235294
-187.375,52.7863,-139.287330316742
-187.375,52.9372,-83.6402116402116
-187.375,53.0876,-210.201117318436
-187.125,52.3303,-363.833333333333
-187.125,52.4828,-219.150289017341
-187.125,52.6348,-162.576200417537
-187.125,52.7863,-76.1370967741936
-187.125,53.0876,-253.192307692308
-186.875,52.3303,-208.016556291391
-186.875,52.4828,-120.072222222222
-186.875,52.6348,-99.0259259259259
-186.875,52.7863,-57.7657894736842
-186.875,53.0876,-208.227586206897
-186.625,52.1773,-210.350877192982
-186.625,52.3303,-103.626068376068
-186.625,52.4828,-140.037974683544
-186.625,52.6348,-134.174074074074
-186.625,52.7863,-102.849785407725
-186.625,52.9372,-197.068669527897
-186.625,53.0876,-259.181818181818
-186.375,52.1773,-151.622775800712
-186.375,52.3303,-78.6131868131868
-186.375,52.4828,-94.4801444043321
-186.375,52.6348,-180.861111111111
-186.375,52.7863,-290.25702811245
-186.375,52.9372,-381.6
-186.125,52.1773,-150.132867132867
-186.125,52.3303,-102.813067150635
-186.125,52.4828,-107.831144465291
-186.125,52.6348,-133.968518518519
-186.125,52.7863,-166.609498680739
-185.875,52.3303,-232.876744186047
-185.875,52.4828,-179.631481481481
-185.875,52.6348,-166
-185.875,52.7863,-180.689873417722
-185.625,52.3303,-307.048351648352
-185.625,52.4828,-301.234939759036
-185.625,52.6348,-276.382178217822
-185.375,52.0237,-237.703947368421
-185.375,52.1773,-335
-185.375,52.3303,-347.330275229358
-185.375,52.4828,-354.887640449438
-185.375,52.6348,-290.777419354839
-185.125,51.8696,-321.714285714286
-185.125,52.0237,-228.748571428571
-185.125,52.1773,-295.662721893491
-185.125,52.3303,-391
-185.125,52.4828,-325.268817204301
-185.125,52.6348,-295.88
-184.875,51.8696,-278.31654676259
-184.875,52.0237,-353.65671641791
-184.875,52.1773,-243.31974248927
-184.875,52.3303,-293.610619469027
-184.875,52.4828,-382.705882352941
-184.625,51.715,-263.125
-184.625,51.8696,-236.390532544379
-184.625,52.0237,-305.678571428571
-184.625,52.1773,-278.260377358491
-184.625,52.3303,-310.546875
-184.625,52.4828,-343.2
-184.375,51.5598,-235.553956834532
-184.375,51.715,-140.22061482821
-184.375,51.8696,-162.397540983607
-184.375,52.1773,-396.5
-184.375,52.3303,-318.690909090909
-184.375,52.4828,-277.314285714286
-184.125,51.5598,-279.809523809524
-184.125,51.715,-130.629545454545
-184.125,51.8696,-106.8
-184.125,52.0237,-147.694630872483
-184.125,52.1773,-324.050724637681
-184.125,52.3303,-160.59801980198
-184.125,52.4828,-206.338028169014
-183.875,51.8696,-174.074712643678
-183.875,52.0237,-139.967741935484
-183.875,52.1773,-247.368700265252
-183.875,52.3303,-202.635097493036
-183.625,51.8696,-267.439024390244
-183.625,52.0237,-231.823529411765
-183.625,52.1773,-271.5234375
-183.625,52.3303,-301.932038834951
-183.375,51.8696,-212.597315436242
-183.375,52.0237,-126.768642447419
-183.375,52.1773,-240.32380952381
-183.375,54.8519,-393
-183.375,54.9956,-379.578947368421
-183.125,51.715,-254.62962962963
-183.125,51.8696,-331.222222222222
-183.125,52.0237,-158.747787610619
-183.125,52.1773,-301.190476190476
-182.875,51.715,-192.23569023569
-182.875,51.8696,-105.883495145631
-182.875,52.0237,-179.01083032491
-182.875,52.1773,-359.5
-182.625,51.715,-196.792553191489
-182.625,51.8696,-70.3994708994709
-182.625,52.0237,-121.326754385965
-182.625,52.1773,-200.545454545455
-182.375,51.715,-279.960784313725
-182.375,51.8696,-100.103718199609
-182.375,52.0237,-88.1979865771812
-182.375,52.1773,-173.685185185185
-182.125,51.715,-211.627167630058
-182.125,51.8696,-122.433098591549
-182.125,52.0237,-197.582677165354
-182.125,52.1773,-204.285714285714
-181.875,51.5598,-392.133333333333
-181.875,51.715,-175.197440585009
-181.875,51.8696,-165.897435897436
-181.875,52.0237,-210.832807570978
-181.625,51.4041,-390
-181.625,51.5598,-258.820189274448
-181.625,51.715,-104.236162361624
-181.625,51.8696,-171.030425963489
-181.625,52.0237,-179.829508196721
-181.625,54.8519,-393.2
-181.375,51.4041,-308.421965317919
-181.375,51.5598,-111.184647302905
-181.375,51.715,-137.38036809816
-181.375,51.8696,-225.351063829787
-181.375,52.0237,-229.170542635659
-181.375,54.7077,-330.207207207207
-181.375,54.8519,-336.089147286822
-181.125,51.2479,-306.982142857143
-181.125,51.4041,-172.51953125
-181.125,51.5598,-75.8929663608563
-181.125,51.715,-226.389473684211
-181.125,54.7077,-322.322580645161
-181.125,54.8519,-272.363636363636
-180.875,51.2479,-174.068403908795
-180.875,51.4041,-57.8934010152284
-180.875,51.5598,-186.69340974212
-180.875,51.715,-303.764705882353
-180.875,52.0237,-321.810344827586
-180.875,52.1773,-273.637755102041
-180.875,54.5631,-309.582159624413
-180.875,54.7077,-305.581818181818
-180.625,51.2479,-196.618518518519
-180.625,51.4041,-121.407008086253
-180.625,51.5598,-316.632653061225
-180.625,51.8696,-236.526104417671
-180.625,52.0237,-247.244660194175
-180.625,52.1773,-218.322222222222
-180.625,52.3303,-275.972067039106
-180.625,54.2721,-311.657894736842
-180.625,54.4178,-264.773195876289
-180.375,51.2479,-302.47619047619
-180.375,51.4041,-182.25
-180.375,51.8696,-160.02994011976
-180.375,52.0237,-71.5075987841945
-180.375,52.1773,-146.981481481481
-180.375,52.3303,-232.378048780488
-180.375,52.4828,-286.663461538462
-180.375,54.1259,-280.645418326693
-180.375,54.2721,-191.721021611002
-180.375,54.4178,-202.696153846154
-180.125,51.4041,-333.481481481481
-180.125,51.5598,-298.505882352941
-180.125,51.8696,-192.795180722892
-180.125,52.0237,-136.988038277512
-180.125,52.1773,-75.987037037037
-180.125,52.3303,-117.891228070175
-180.125,52.4828,-233.782201405152
-180.125,53.8318,-354.040229885057
-180.125,53.9791,-266.064301552106
-180.125,54.1259,-328.680473372781
-180.125,54.2721,-235.496062992126
-179.875,51.4041,-279.96
-179.875,51.5598,-338.277777777778
-179.875,52.0237,-257.40873015873
-179.875,52.1773,-152.798148148148
-179.875,52.3303,-156.912280701754
-179.875,52.4828,-212.279527559055
-179.875,53.8318,-381.875
-179.875,53.9791,-309.851485148515
