"","sppocean","npres","fakepres","npres.tr","npres.te","ntot","thresh.kappa","thresh","thresh.trKap","thresh.tr","auc","auc.tt","tss","tss.tt","tssmax","tssmax.tt","acc","acc.tt","accmax","accmax.tt","sens","sens.tt","spec","spec.tt","kappa","kappa.tt","kappamax","kappamax.tt","rpb","prev.obs","prev.pred.prev","prev.pred.kap","smear","pred_obsMedian","pred_obsMean","r2.biomass","r2.biomass.tt","r2.all","r2.all.tt","r2.pres.surv_year","r2.pres.surv_year.kap","r2.abun.surv_year","r2.predPATT.surv_year","r2.predPATTkap.surv_year","r2.predTT.surv_year","dev.pres","dev.biomass","dev.pres.null","dev.biomass.null"
"11","allosmerus elongatus_Pac",322,96,267,55,38509,0.10870924,0.00832934,0.11567219,0.00862325,0.943780947533932,0.943415718582451,0.0462420921768541,0.0633510909497551,0.530278870132361,0.20752192656459,0.83629800825781,0.923915866008829,0.991664286270742,0.992858997662945,0.956521739130435,0.727272727272727,0.835284259041035,0.925330194847653,0.0742561749473274,0.108438380648248,0.181930723727948,0.130680641391093,0.255775136887832,0.00555694008867142,0.0667865023934862,0.00189816988187782,479.33979044108,5.286e-14,-0.00263,0.000680443350967184,0.0360581490390146,0.00241468988051323,0.00596337456503298,0.65,0.73,0.23,0.9,0.95,0.73,0.321381409062079,0.893920182918137,0.116699285229784,0.380184945271031
"12","alosa aestivalis_Atl",4571,1371,3427,1144,97535,0.23862977,0.04694489,0.2405831,0.04386403,0.935263588436352,0.931640871924851,0.215232889141567,0.305326766436169,0.953144544466545,0.510625463270199,0.845778438509253,0.88061308181259,0.954006254165171,0.942228829198278,0.90527236928462,0.875,0.842853147454929,0.880962753212808,0.302346133723811,0.411454329252897,0.456953305657592,0.426658155737724,0.515325286027104,0.0447132892184606,0.145257077699459,0.0660216354308159,20469.5967821579,3.328e-09,0.3309,0.014276491548051,0.000586960153448411,1.59451220193622e-07,1.52595044272495e-06,0.8,0.87,0,0.76,0.54,0,0.40628752556158,0.776404309968222,0.155856614117665,0.472347663679921
"141","alosa pseudoharengus_Atl",11434,3045,9200,2234,97535,0.31922533,0.1171825,0.29374264,0.11784823,0.906797736699741,0.923446161154945,0.323829216548007,0.368768199743298,0.695384360996319,0.885522403363068,0.785143794535295,0.825139693443379,0.897462449377147,0.904905931204183,0.896274269721882,0.890331244404655,0.770385942091265,0.816708157239623,0.391061723847149,0.450571395327463,0.4818438805473,0.52654792958439,0.555151083920491,0.0905454208749837,0.237665241439159,0.115875583950168,120771.75313885,1.97e-09,14.53,0.0171901786025556,0.000813108063055753,1.38418918821987e-07,4.12495405352401e-06,0.78,0.83,0.18,0.72,0.67,0.05,0.373703843707082,0.780741018685199,0.0655979212839896,0.227339431400149
"14","alosa sapidissima_Atl",3871,1161,2904,967,97535,0.17871975,0.03970006,0.20038236,0.03719832,0.885130867480429,0.890664597707855,0.113803420450312,0.159901146620708,0.960351067865602,0.313147007267594,0.73864766494079,0.775169161369694,0.960937099502743,0.950430592577404,0.884525962283648,0.889348500517063,0.732618722241203,0.769214173992773,0.152540287503382,0.216299488366701,0.276720601791173,0.282643227549803,0.371010801817203,0.0422104810524665,0.262490043722397,0.0337040965511594,124997.622951728,9.096e-09,3.33,0.00889202189684084,0.00334627636895116,6.44960098063643e-08,4.93146372436375e-05,0.47,0.85,0,0.46,0.26,0,0.273878804505439,0.791771322270545,0.0989107458794852,0.373994205679438
"15","alosa sapidissima_Pac",1681,504,1592,89,38509,0.22281691,0.04376756,0.21778945,0.05159933,0.94591798897032,0.967523765528214,0.20285076570516,0.115848073530599,0.956397538109954,0.417395340202358,0.837778181723753,0.920540119449494,0.957100937443195,0.988444559854583,0.94883997620464,0.898876404494382,0.83270880851526,0.920793379745173,0.286861409048233,0.190706634365605,0.417721806501791,0.328501487852751,0.492350231397404,0.00878233550840084,0.0738523943108079,0.0189883622812586,129.612723367527,1.998e-14,-0.06077,0.00530200659664265,0.0108846767459763,0.00479131446828703,0.0120306024570865,0.82,0.9,0.46,0.81,0.91,0.73,0.427331115853907,0.899524456361599,0.124666195966653,0.299277816980114
"16","aluterus schoepfii_Atl",976,294,484,492,97535,0.14686581,0.01001309,0.10368051,0.00621921,0.934790044488217,0.87512954431185,0.046508741307191,0.0891860731263471,0.372297278216557,0.103764586888347,0.822843081970575,0.763942997744515,0.989993335725637,0.974779577609186,0.885245901639344,0.934959349593496,0.822212326142566,0.759518300378629,0.073320252712797,0.126373485950901,0.300877026180193,0.15510171516096,0.343099682887735,0.0197914669172164,0.327200828715556,0.00066235919501856,174.940759638941,2.144e-10,-0.006199,0.262466481626374,0.00205270180596232,0.00501890666525186,2.3232511099246e-05,0.34,0.45,0.36,0.1,0.01,0.02,0.335126005495376,0.94175527880473,0.226488231629638,0.598382269382997
"17","amblyraja radiata_Atl",22389,2891,19549,2840,97535,0.33665767,0.22936887,0.36782423,0.25091092,0.891579314773828,0.891757316262126,0.48023189579718,0.348585773874115,0.641176989096071,0.855200369439171,0.772830266058338,0.759112113600246,0.818547188188855,0.868611267750038,0.944169011568181,0.914084507042254,0.721781598488276,0.732705345893082,0.509060333978535,0.400477724258439,0.536810193932895,0.446207909593251,0.611563691036205,0.108925608557127,0.316391576230295,0.254764292094549,45.6298562160239,9.293e-12,-0.7286,0.375468266566729,0.236071922168689,0.0376861702601743,0.00234170333396723,0.85,0.87,0.53,0.71,0.71,0.23,0.403821419829613,0.865616927058939,0.197208325317575,0.52830087349918
"18","ammodytes dubius_Atl",8270,1586,6703,1567,97535,0.25153631,0.08455919,0.25900473,0.08597437,0.904589672978254,0.885573243390455,0.250848957031601,0.240205185168775,0.689480634930569,0.688458110516934,0.786281847541908,0.811461964322329,0.925390885323217,0.929464834939512,0.867110036275695,0.760689215060625,0.77879348008738,0.815896549802129,0.319289394183748,0.31121906823111,0.452484777944142,0.42347777619038,0.527999848913093,0.073490761395697,0.187515033150198,0.0754787785785037,444550.977909058,1.367e-05,-0.2288,0.0605094405921245,0.133010745308112,0.00705606959344334,0.00143787140248155,0.55,0.68,0.03,0.43,0.39,0.02,0.354348603752359,0.762359030389375,0.228383897042724,0.349787239963924
"19","ammodytes hexapterus_Pac",618,0,500,118,38509,0.08668688,0.01602129,0.09134333,0.01623004,0.879062015648873,0.859975643274527,0.0470740433481488,0.0406981275523184,0.483976939257797,0.484807167900273,0.739359630216313,0.719459950668571,0.983951803474512,0.984681293002726,0.852750809061489,0.838983050847458,0.737510226702911,0.717600527356625,0.0667470189584889,0.0564726055563213,0.218221226557139,0.183156935668865,0.274208306287994,0.0163034612452266,0.295258262978599,0.0169564072159833,5.34427501426875,4.427e-05,-0.006805,0.37183512829867,0.493319595029461,0.00696193440685996,0.022458553085746,0.62,0.44,0.54,0.57,0.31,0.39,0.228790002782656,0.370189676928686,0.145955965596687,0.262005296131153
"20","ampheraster marianus_Pac",379,76,243,135,38509,0.13988015,0.00974731,0.11262651,0.00780944,0.968351639682879,0.940460932545643,0.0826465316121816,0.0781201629228872,0.240233005169234,0.48069270449521,0.895297203251188,0.769910201678198,0.990158144849256,0.980126600912704,0.96042216358839,0.985185185185185,0.894649881982691,0.765545208771403,0.137312332527041,0.112773133020534,0.275216799702554,0.294312083428757,0.359319891809346,0.0153600147114346,0.234709196277068,0.0403455062206432,3385.48552041772,9.975e-13,-0.001069,0.00738656782368691,0.00118398015225157,0.0063028565895693,0.0061138704138243,0.86,0.87,0.53,0.71,0.96,0.44,0.429813525751609,0.948341587903337,0.325995637300223,0.629358475542269
"21","amusium papyraceum_Atl",3491,1993,2595,896,97535,0.32371143,0.03562711,0.29866465,0.03332447,0.974332393166258,0.973168170033851,0.242360839887999,0.249171130773606,0.964247264972163,0.954263446649233,0.891536371558928,0.866304403547445,0.972245860460348,0.968267801302097,0.965912346032655,0.964285714285714,0.888775466802773,0.861587233356617,0.352286653026431,0.35124156391288,0.560898309530844,0.621306078570158,0.635918725274789,0.0315256119192624,0.148295776534168,0.0322390888601786,173.824219331159,1.979e-21,-0.003601,0.0534522150254582,0.0423233094714064,0.0811742364129561,0.0783780958806305,0.78,0.79,0.53,0.67,0.86,0.69,0.562427145833911,0.915582347563957,0.259915529805986,0.604100563365419
"22","anadara baughmani_Atl",489,294,318,171,97535,0.15026752,0.00499262,0.13067736,0.00411705,0.98309147303366,0.983770689826207,0.0536139576142034,0.087256868519175,0.49499656526509,0.547547342003194,0.913589993335726,0.908853232173066,0.994986415133029,0.991387706976983,0.977505112474438,0.994152046783626,0.913267934793809,0.908098882912702,0.0932572566198003,0.146777688691982,0.332380024720702,0.422416217102556,0.392452251040036,0.00621424007639372,0.0913896449484871,0.00988803857041925,38.4706291173327,1.879e-15,-0.000133,0.0254751754539606,0.00638365713839778,0.0179718164301624,0.0153202132213503,0.46,0.6,0.26,0.45,0.73,0.26,0.485687962592067,0.926125307645846,0.316162886649327,0.745029511605977
"23","anarhichas denticulatus_Atl",1524,760,1174,350,97535,0.1692519,0.01558113,0.1798889,0.01506547,0.965401735463874,0.973771541920521,0.115823458926057,0.162940627612189,0.984395025273497,0.982359878980565,0.887589070590045,0.9113138873225,0.984436356179833,0.982519095709233,0.944225721784777,0.96,0.886690066763183,0.910424387952185,0.185260288751666,0.256989312984091,0.358068059047247,0.42232093933253,0.437910144961164,0.00818704398691318,0.057834471309173,0.00828724545386017,13631.5910093537,3.056e-13,0.04041,0.0539880641851934,0.0796969056032654,1.57328062139174e-05,1.19502456966809e-05,0.6,0.6,0.03,0.91,0.89,0.02,0.447836170532044,0.864369862574264,0.310543066009364,0.678487366923629
"24","anarhichas lupus_Atl",7128,1674,6248,880,97535,0.20769212,0.07306195,0.21364971,0.08006923,0.881874149570051,0.912681585137899,0.185414246175392,0.146991228659506,0.399212879258573,0.370000795440987,0.723473624852617,0.769211052442713,0.926918542061824,0.954887988927052,0.900252525252525,0.905681818181818,0.709535766035816,0.762763730069254,0.230034328472819,0.199700145383614,0.33218929898233,0.347308128910689,0.416867516863371,0.0318552797036957,0.22779035593151,0.0924465009166655,48.7267820936096,5.477e-07,-0.1892,0.448300067122322,0.313885672592052,0.0302525439024256,0.0165598104192997,0.83,0.72,0.58,0.66,0.76,0.49,0.29310200173464,0.889757338638347,0.129043418888637,0.597329450538292
"25","anarhichas minor_Atl",1655,830,1305,350,97535,0.18816129,0.01694154,0.17425266,0.0167096,0.962925147496808,0.973641637894392,0.114356726664434,0.143568435444185,0.545621237912612,0.982108069312007,0.874127236376685,0.896908801968524,0.983052237658277,0.98210898651766,0.96012084592145,0.962857142857143,0.872642886942011,0.895703920238033,0.180805659859135,0.2268981221496,0.360728061527055,0.420610621817375,0.430787075525442,0.00834918694023558,0.062680450920654,0.0108567407983401,1004.7440553991,9.614e-14,0.2863,0.0430030112476914,0.0261104723468418,3.69637186531225e-09,3.06203429025019e-08,0.78,0.8,0.01,0.9,0.93,0.12,0.437466923804452,0.851445298789491,0.224909867283745,0.610194543235422
"26","anasimus latus_Atl",1812,1086,1145,667,97535,0.20458569,0.01871631,0.14570049,0.01462412,0.966746480410882,0.960761458442753,0.114007849265835,0.156711028728138,0.981432115980069,0.965856659489388,0.860706413082483,0.827395293997027,0.981934690111242,0.971651202132568,0.967439293598234,0.944527736131934,0.85868600022983,0.823248407643312,0.177814820249632,0.227077333102806,0.418314324660269,0.529903796563139,0.486540430278736,0.0228108672936896,0.18547087237968,0.0245951832533626,44.7489535190656,4.69e-26,-0.0004914,0.0340000506422259,0.0278267896116072,0.00601081946280314,0.035968020492786,0.64,0.74,0.22,0.57,0.72,0.39,0.468266995686874,0.911771532136125,0.197105947570051,0.582254473443528
"27","anchoa hepsetus_Atl",6199,1754,5028,1171,89942,0.24425666,0.06852571,0.24991243,0.07009392,0.92809634463851,0.922318219905699,0.243597226964357,0.175424688771664,0.931088157792331,0.753547264838843,0.797391652398212,0.703596642392573,0.935069266860866,0.936127633553838,0.953863526375222,0.97865072587532,0.785808963137217,0.684445237245808,0.319056839936464,0.214019068758926,0.417325390267942,0.412516961981158,0.513679583092076,0.0654863787424531,0.361635096118196,0.163972810402031,5807.47197047957,3.833e-11,-0.1896,0.144882222496105,0.127753264457495,0.0262819463332035,0.0219269566210654,0.79,0.81,0.62,0.65,0.84,0.8,0.402020163789764,0.914251171492719,0.183484546508862,0.548207026816592
"28","anchoa lyolepis_Atl",474,188,414,60,89942,0.0348313,0.0053732,0.03942128,0.0056986,0.925312604992399,0.904237083310094,0.0241902079379575,0.0123051681706317,0.194740762978529,0.0240347069453475,0.790787396322074,0.732280838290066,0.994729937070557,0.996664628384012,0.987341772151899,1,0.789746054455224,0.731384907133694,0.0374836074669404,0.0178390801512018,0.0728690934739186,0.043029571144558,0.158902248215585,0.00260751393037616,0.238320488539621,0.0421622824646293,477.208501623918,6.591e-13,-0.000295,0.107068290282923,0.00745441163782735,0.00221415737265421,0.000108768396096699,0.33,0.27,0.2,0.37,0.31,0.15,0.261478272103572,0.94716207551037,0.162140976266736,0.573331833527018
"29","anchoa mitchilli_Atl",3966,1191,3488,478,89942,0.16661639,0.04405857,0.17702534,0.04847522,0.912209561079823,0.936564022279839,0.140911787764853,0.0868971279712374,0.384715878207634,0.973644703919933,0.75819972871406,0.729556951470343,0.955904916501746,0.973928511868364,0.921835602622289,0.976987447698745,0.750651344561273,0.722802809662498,0.18992678197863,0.118055954805002,0.359747109810814,0.335395684089798,0.406344482798522,0.0274516821952956,0.308990679350688,0.10027946333823,34874.6779762005,1.341e-10,-0.1499,0.0974686519561778,0.0123409855317742,0.00393274228657494,0.000651891029684869,0.54,0.72,0.03,0.28,0.66,0.01,0.32290122035052,0.840468807327581,0.192788788484674,0.570688809232009
"30","ancylopsetta dilecta_Atl",1318,660,1043,275,97535,0.20817788,0.01363091,0.21301975,0.01337196,0.973435812760303,0.97202796475571,0.100466221588295,0.0973439033760616,0.764335208616734,0.629663447082206,0.884605526221356,0.877377351719895,0.986661198544112,0.986312605731276,0.955993930197269,0.941818181818182,0.883627633370402,0.876455906821963,0.162470628383063,0.15647113355022,0.422164762603447,0.468396475743149,0.481738976554474,0.0117745634410174,0.138616577661982,0.012455697526349,161.580766331073,9.178e-14,0.00135,0.00258207628105634,0.00277726737149678,9.26736803580959e-06,0.0816459082444776,0.72,0.7,0.01,0.57,0.32,0.49,0.485848189733492,0.912515676583059,0.265855121976747,0.627390738906627
"31","ancylopsetta ommata_Atl",4294,1287,3085,1209,97535,0.22976207,0.04402498,0.26445355,0.03912579,0.935898559710447,0.911889311419138,0.163232725615828,0.185067874596529,0.813292743313048,0.938118431171495,0.780386527913057,0.731737325062798,0.959604244630133,0.943251140616189,0.978108989287378,0.987593052109181,0.771280874293497,0.714832222100776,0.22313686660187,0.233394559305735,0.417756124162353,0.386830080959198,0.49793418658751,0.106532566355831,0.459916395607846,0.22528179209317,10875.9020893338,3.408e-14,-0.001777,0.132669459086669,0.176796962651015,0.0448638896159831,0.0471271528215726,0.48,0.71,0.41,0.43,0.59,0.29,0.41239356857372,0.979203842461086,0.251773852610735,0.586296848240474
"32","anoplopoma fimbria_Pac",13291,0,10916,2375,38509,0.43584052,0.34535343,0.4248006,0.3544753,0.916269630738551,0.934465149359886,0.639697893510829,0.634475662779831,0.658855444149301,0.701511094806579,0.835181386169467,0.840451772036869,0.845127113142382,0.866934960405037,0.885034986080807,0.916210526315789,0.808906336743596,0.806681681681682,0.655555548556274,0.65899407689152,0.666377610056669,0.694099438992827,0.716699748834586,0.273770725124329,0.369580585577789,0.343495528891059,3.78836919515059,0.0194,-3.333,0.235907683776749,0.148377656910388,0.0444204179984032,0.0224258283010457,0.95,0.95,0.59,0.95,0.96,0.29,0.462362667610629,0.235700651181407,0.374342536604177,0.15906054298423
"33","anthoptilum grandiflorum_Pac",596,120,389,189,38509,0.14884798,0.01533757,0.1712232,0.01280258,0.961599693894729,0.927369255125161,0.101614849686298,0.0979204048285609,0.651240499316124,0.63912616593029,0.869095536108442,0.754305903135581,0.984575034407541,0.972324451641396,0.959731543624161,0.968253968253968,0.867670719805871,0.748182919442762,0.161510200434157,0.136252818554245,0.32328669756375,0.280950378132496,0.401145715843843,0.021845419205714,0.249719086199753,0.0368920277809007,2.62675339403145,1.711e-11,0.03897,0.0779548915018507,0.021803301261601,2.02148426426023e-05,1.81968258814476e-05,0.83,0.8,0.01,0.69,0.71,0.05,0.42290885601969,0.977377946184295,0.320173339287116,0.593750183780036
"34","antimora microlepis_Pac",1298,130,1040,258,38509,0.28816303,0.03333694,0.32947318,0.03351202,0.973068482698859,0.926767873969836,0.256078766588113,0.161224086222269,0.96634378165009,0.966883116883117,0.906982783245475,0.849409321043749,0.973902204679426,0.969492405556277,0.940677966101695,0.872093023255814,0.905807422536347,0.84862323707186,0.372174505683687,0.236557686395941,0.597179463711733,0.52502753685479,0.650356673888689,0.0267138120757778,0.128706850570393,0.0543547558422222,33.0999090415393,7.82e-08,0.08665,0.0696448058094692,0.0308641779139629,1.9499924386841e-06,0.0723632795847482,0.73,0.85,0.28,0.85,0.9,0.93,0.56568999365898,0.917862573899087,0.384421027289381,0.831781017604088
"35","antimora rostrata_Atl",2433,972,2020,413,97535,0.3610343,0.02505689,0.35216189,0.02636943,0.993140844999934,0.983228688975157,0.373215201388079,0.398491268119853,0.975065105501671,0.979682930583346,0.958507202542677,0.969345909370515,0.987214845952735,0.988978880459299,0.981504315659679,0.903147699757869,0.957918866059599,0.970777690494894,0.52411773470292,0.541614914349244,0.745826947530237,0.731923548072997,0.789853546683991,0.00994452130529528,0.026011493271615,0.00931305028485609,649.262794773005,3.904e-13,0.00198,0.0852539852611253,0.099701472367913,0.0393828604324646,0.0455628955306385,0.57,0.88,0.06,0.81,0.92,0.06,0.738823901905371,0.912472110483607,0.63078464927758,0.848521840515048
"36","aphrocallistes vastus_Pac",1897,190,1437,460,38509,0.15152506,0.04937032,0.14159645,0.04668425,0.883246710680339,0.876224739742805,0.141468407841349,0.180472773212872,0.950763477718916,0.940397350993378,0.736035731906827,0.787587639574137,0.950920564023994,0.940794598805505,0.913020558777016,0.817391304347826,0.726865508576423,0.785694559513946,0.18504850164321,0.241785717896123,0.278023731585405,0.321734209527792,0.354219578042146,0.065016259693158,0.255664376991049,0.119061133707709,817.600797729911,0.0001512,1.815,0.0286353693175486,0.0101090972580851,6.40080068718394e-07,1.52356942662026e-06,0.59,0.72,0,0.91,0.93,0.01,0.268343370517834,0.688121515325579,0.169203519564027,0.153677435047489
"37","aphrodita negligens_Pac",326,33,243,81,38509,0.05462978,0.00846218,0.04706824,0.00788834,0.872425118042286,0.863873806265542,0.0244287046924582,0.0412452232474687,0.170229649511633,0.051668472992986,0.712794411695967,0.766965994406006,0.991534446493028,0.988075960547623,0.892638036809816,0.876543209876543,0.711258937223372,0.765643623361144,0.0340955192955609,0.0609764734123984,0.143708929293349,0.0844357585871074,0.181368924084094,0.0136316182760863,0.229512982978167,0.0145500508408411,68.7429054817273,2.724e-05,0.05429,0.358262617732567,0.242494947243744,3.69149134899893e-07,0.0124387160860521,0.19,0.32,0,0.03,0,0.25,0.186511543187664,0.778766643923354,0.0744446746908379,0.252810686787003
"38","apostichopus leukothele_Pac",1277,128,830,447,38509,0.17698901,0.03320881,0.16540039,0.02689693,0.922970350948099,0.831351790325803,0.122762022659978,0.109761527867127,0.966864028253869,0.942215296714712,0.77937624970786,0.711151499415812,0.96686488872731,0.942230299883162,0.944400939702428,0.722595078299776,0.773716158143532,0.710446527012128,0.172675810679934,0.140818418371089,0.30180389377286,0.224677995292658,0.379208361618523,0.0510735330807278,0.240796278860838,0.0955395809017516,5676.79245146857,4.591e-06,4.461,0.119171688955151,0.0715960733164561,4.12249890066101e-06,1.16091971361132e-05,0.7,0.63,0.01,0.38,0.29,0.02,0.338517013360217,0.919811444743109,0.217536270636508,0.446399842892135
