"","sppocean","npres","fakepres","npres.tr","npres.te","ntot","thresh.kappa","thresh","thresh.trKap","thresh.tr","auc","auc.tt","tss","tss.tt","tssmax","tssmax.tt","acc","acc.tt","accmax","accmax.tt","sens","sens.tt","spec","spec.tt","kappa","kappa.tt","kappamax","kappamax.tt","rpb","prev.obs","prev.pred.prev","prev.pred.kap","smear","pred_obsMedian","pred_obsMean","r2.biomass","r2.biomass.tt","r2.all","r2.all.tt","r2.pres.surv_year","r2.pres.surv_year.kap","r2.abun.surv_year","r2.predPATT.surv_year","r2.predPATTkap.surv_year","r2.predTT.surv_year","dev.pres","dev.biomass","dev.pres.null","dev.biomass.null"
"1","acanthephyra pelagica_Atl",1931,772,1637,270,97535,0.33063732,0.01961813,0.31872014,0.02097694,0.989190839127507,0.992603950887184,0.264571717185272,0.257430650575956,0.980212028625915,0.984338573734234,0.946285948633824,0.954233136165382,0.98670220946327,0.988229670789269,0.967892283790782,0.977777777777778,0.945849546044099,0.953847088115625,0.39767806226112,0.392527206475823,0.669929159302401,0.651508959656761,0.721905754056208,0.00686310061322512,0.0415133884887876,0.00910515273269447,2078.59330985118,1.152e-12,0.0003703,0.117623860684181,0.0050111419173147,4.31948467655475e-05,0.042105166087535,0.5,0.88,0.09,0.35,0.96,0.75,0.676864371448072,0.90216775447429,0.499451302309569,0.828628584440738
"2","acanthostracion quadricornis_Atl",1336,536,364,972,97535,0.21002888,0.01372262,0.04151772,0.00466081,0.964260345617147,0.93513614814282,0.083875064247005,0.175030759480484,0.78303217303125,0.617125664563995,0.863905264776747,0.768505228624154,0.988106833444405,0.950635636661882,0.917664670658683,0.988683127572016,0.863158660692939,0.756959430297799,0.134216737300746,0.233706763529581,0.4727767699308,0.38779475632466,0.534242458714965,0.0385680321879271,0.326682645580669,0.0197288644024131,657.84647347618,6.617e-16,-0.0008887,0.0253824216261411,0.00413002971055852,0.0813392306288362,7.38497239429689e-07,0.25,0.74,0.35,0.28,0.08,0.01,0.479210351490225,0.972084840244004,0.35175649250036,0.59360833523634
"3","achelous spinicarpus_Atl",4857,2678,3433,1424,97535,0.29407834,0.05001379,0.29889415,0.04419086,0.965775771763518,0.952876137777924,0.271384762346481,0.313395243357244,0.950212233682613,0.927048087767866,0.869257189726765,0.844722407340954,0.95875326805762,0.937970984774696,0.976116944616018,0.969803370786517,0.863656962817497,0.834872532212575,0.378052472162554,0.412235315435714,0.538024926224687,0.527248663148818,0.612238516002595,0.0487794641100628,0.189014812050562,0.0528324727241247,6635.22002024177,9.514e-26,-0.008805,0.0181955859771051,0.00651453275660446,0.041930464328889,0.0127980389495144,0.79,0.73,0.38,0.69,0.58,0.6,0.530087224955727,0.886147430312011,0.195173527761283,0.474946622473804
"4","achelous spinimanus_Atl",4974,1739,3919,1055,97535,0.18881258,0.05036562,0.23095043,0.05068123,0.916616159324997,0.888980792242004,0.186003377835208,0.155959649471845,0.40770668235457,0.242462751219129,0.780612087968422,0.713245847857289,0.94900292202799,0.945919622718885,0.986127864897467,0.985781990521327,0.769568176661877,0.697664336422262,0.250042547756344,0.196043044652201,0.314217183159471,0.270417111586621,0.423728541682682,0.0632424053577817,0.404311549425231,0.0685312388367979,11280.690983645,3.428e-15,-0.002338,0.00660725648290426,0.0289868700978451,0.0073995171229771,0.0224107028295946,0.62,0.7,0.22,0.69,0.32,0.38,0.366223671575262,0.956474752200723,0.253382408636146,0.527348319225522
"5","actinauge verrilli_Pac",1297,0,949,348,38509,0.19366673,0.03365058,0.18032275,0.03072519,0.924997219457565,0.910690202145698,0.142246050364401,0.184511169281117,0.716393974808466,0.56520606884058,0.817341400711522,0.8342204335973,0.967098600327196,0.956250811372193,0.912104857363146,0.841954022988506,0.81403848221004,0.833854520734194,0.205572495918046,0.260187516043059,0.331010554980188,0.369093615417338,0.41944829137746,0.0346536719289565,0.149942495596285,0.035987556310356,4.38338384242744,2.163e-05,-0.006443,0.149786577986672,0.0814022332381901,0.0328722569017444,0.0428849210309108,0.57,0.69,0.66,0.62,0.58,0.78,0.347864288866822,0.14800701628933,0.257641480535877,0.111275867878382
"6","aforia circinata_Pac",900,180,689,211,38509,0.14774757,0.02334992,0.15020828,0.02248602,0.954673822164317,0.96564550370316,0.133234391103506,0.230680320124285,0.364018651630006,0.972860667445786,0.851619102028097,0.912761261846034,0.976628840011426,0.972997533428534,0.977777777777778,0.947867298578199,0.848600069132389,0.911772557394554,0.202703161504844,0.344282197450962,0.33849615353516,0.448142524003646,0.418368673152565,0.0384609593685188,0.156102955850296,0.0585527482269504,29.0732870203139,1.514e-06,0.0007668,0.0766690020590439,0.00961897801584884,0.00273468912172953,2.51794099719849e-07,0.64,0.67,0.02,0.97,0.96,0.04,0.416100892366143,0.965582882437015,0.198407787867859,0.461383040168351
"7","albatrossia pectoralis_Pac",2217,222,1612,605,38509,0.26382206,0.05750988,0.28855432,0.0524135,0.964843166048392,0.962533270924879,0.307481573551906,0.326149848890969,0.942698321990753,0.923497267759563,0.876730115038043,0.844865636764897,0.958659014775767,0.948072179670258,0.942715381145692,0.953719008264463,0.872699217458393,0.835587489433643,0.417860135738908,0.424110148912291,0.613485617535123,0.651058534569055,0.665920943018169,0.0624727951345107,0.204542480793302,0.0727489890210794,986.562754080827,2.027e-08,-2.397,0.28648557140244,0.157241370337961,0.0286761404125165,0.0749513721437603,0.59,0.84,0.45,0.57,0.92,0.72,0.542549527000783,0.918620878550504,0.37345886378315,0.880913232293015
"8","alectis ciliaris_Atl",298,90,261,37,97535,0.025096,0.00305191,0.02305901,0.00334881,0.925966673966803,0.894776440539152,0.0102298822669939,0.00530314454142498,0.0376491484693344,0.0183986401525561,0.722233044548111,0.658840416260829,0.996944686522787,0.998103244988978,0.956375838926175,0.972972972972973,0.721515472505322,0.65824345146379,0.0146496416790148,0.00695673704092546,0.0654506922996235,0.0267241099081989,0.140004513257599,0.00317916903202225,0.410864088578249,0.176218248505958,8.00023551911715,3.456e-13,-8.329e-05,0.105111796481938,2.28301149099004e-07,0.000331871869689258,0.000166270044744575,0.17,0.38,0.02,0.18,0.24,0.01,0.236507484149682,0.939789992356449,0.0567521495638424,0.649005185590887
"9","alepocephalus bairdii_Atl",502,250,448,48,97535,0.10184705,0.00518948,0.09954395,0.00568657,0.983677750736873,0.985769069446941,0.0594232316536411,0.0421905117405527,0.494863277044693,0.497191514789364,0.920715640539294,0.937682977833542,0.994853129645768,0.997132102527335,0.974103585657371,0.958333333333333,0.920439438129296,0.937623584396908,0.103576052742499,0.0759814278348422,0.288094463048861,0.240359318099779,0.370635853342306,0.00115420449185699,0.0314604008830552,0.00587869006693568,1440.35433602129,3.523e-14,5.824e-05,0.132058790774907,0.0512608255585548,5.4110913833352e-05,0.00363472121846856,0.39,0.81,0.36,0.78,0.96,0.86,0.488482726359603,0.881011728013336,0.368133143927609,0.831315976869479
"10","alepocephalus tenebrosus_Pac",1644,328,1101,543,38509,0.39951208,0.04198585,0.41369099,0.0360241,0.989811266398113,0.982051208835251,0.442240898752338,0.415951306581047,0.958055043010473,0.930102637391191,0.946531979537251,0.901584004154765,0.978810148277026,0.964424824720852,0.982360097323601,0.990791896869245,0.944934219449342,0.894817711970946,0.586361815496042,0.541152779255802,0.743339679588173,0.727738476134712,0.783350461810191,0.050382406949047,0.141697249862837,0.0642504374906806,2.97152581324694,4.01e-15,-0.09245,0.0622990780033036,0.0638526594766266,0.21570920597474,0.183141678542957,1,0.99,0.95,0.84,0.9,0.78,0.712324483411283,0.965482285274931,0.448657555280473,0.63409727575252
