"decade","sppocean","ntot","npres","thresh","dev.pres","tss","acc","sens","spec","kappa","auc","tssmax","accmax","kappamax","rpb","thresh.gr","dev.pres.gr","tss.gr","acc.gr","sens.gr","spec.gr","kappa.gr","auc.gr","tssmax.gr","accmax.gr","kappamax.gr","rpb.gr"
2000,"alosa aestivalis_Atl",6580,976,0.03394668,0.175867184130426,0.125561969519897,0.509574468085106,0.780737704918033,0.462348322626695,0.111293872040005,0.685632371783621,0.441046508501313,0.852127659574468,0.256999257130612,0.24887917075935,0.03037327,0.175867184130426,0.0896019480960251,0.461000901713255,0.794820717131474,0.418403660396543,0.0735614730672317,0.660319575789369,0.487384337621304,0.887060414788097,0.185968171102327,0.186794678241398
2010,"alosa aestivalis_Atl",3867,805,0.03394668,0.175867184130426,0.0752214015360306,0.47840703387639,0.685714285714286,0.423905943827564,0.0647959802147372,0.591576163024208,0.401881070219179,0.794672873028187,0.137363621823853,0.147820075902695,0.03037327,0.175867184130426,0.0807501483730204,0.43356401384083,0.761078998073218,0.361872627583298,0.0601161094628298,0.569367818754068,0.488603494157121,0.822145328719723,0.107718372910445,0.112447171120642
1960,"alosa pseudoharengus_Atl",2091,458,0.21908533,0.223165809515653,0.331495816197631,0.713534194165471,0.768558951965066,0.698101653398653,0.357869793848206,0.815596445580642,0.785851780558229,0.81635581061693,0.433670696037067,0.487715428399776,0.20617954,0.223165809515653,0.289873574813754,0.667403314917127,0.809651474530831,0.630480167014614,0.302170685814779,0.811347366889241,0.802793296089385,0.827624309392265,0.43061537528273,0.478818661770904
1970,"alosa pseudoharengus_Atl",7958,1666,0.21908533,0.223165809515653,0.271633996798817,0.646016587082181,0.806122448979592,0.603623649078195,0.277035177062428,0.782085036811928,0.457835367132134,0.796933902990701,0.320155002487796,0.400227779794532,0.20617954,0.223165809515653,0.203742629191586,0.583348649145378,0.828789531079607,0.533598585322723,0.195987520636037,0.757566816792929,0.373024142251116,0.833486491453777,0.273232542765809,0.349365244403201
1980,"alosa pseudoharengus_Atl",7268,1573,0.21908533,0.223165809515653,0.294780981214058,0.660704457897633,0.815638906547997,0.617910447761194,0.3023551606228,0.772955163600866,0.783787503440683,0.783984589983489,0.31668398639614,0.374897549129879,0.20617954,0.223165809515653,0.202158563793977,0.583603896103896,0.815850815850816,0.534643734643735,0.194893819756321,0.738077381259199,0.826060483052568,0.826095779220779,0.245256251108353,0.304462043444323
1990,"alosa pseudoharengus_Atl",6435,1800,0.21908533,0.223165809515653,0.374543453830305,0.678321678321678,0.853888888888889,0.610140237324703,0.367597292724196,0.769261896200408,0.720391669257072,0.72043512043512,0.374937462148142,0.393323024323041,0.20617954,0.223165809515653,0.279213132482463,0.596751412429379,0.863681592039801,0.514030218933087,0.252809348723964,0.737882281469618,0.285641687888944,0.763418079096045,0.286536826380114,0.329936367507609
2000,"alosa pseudoharengus_Atl",6580,1818,0.21908533,0.223165809515653,0.347486792649808,0.663981762917933,0.834983498349835,0.598698026039479,0.340431354243852,0.724641678783586,0.37419307207095,0.72370820668693,0.343583220398742,0.309225031073536,0.20617954,0.223165809515653,0.276721302467654,0.597159603246168,0.844982078853047,0.513855421686747,0.251182765795936,0.707281545536987,0.302667567907445,0.748422001803427,0.269177937363174,0.279286847322382
2010,"alosa pseudoharengus_Atl",3867,1289,0.21908533,0.223165809515653,0.359465861524738,0.648564778898371,0.842513576415826,0.551590380139643,0.332623997380913,0.694205490029918,0.431018936941672,0.666666666666667,0.337893522333938,0.290753723755162,0.20617954,0.223165809515653,0.311230235205456,0.603114186851211,0.847457627118644,0.484583761562179,0.269018511649774,0.682041715296044,0.38807475688297,0.673356401384083,0.284302404164085,0.267101863966446
1960,"alosa sapidissima_Atl",2091,96,0.04571982,0.0974317027077468,0.073800208796887,0.697274031563845,0.666666666666667,0.69874686716792,0.0956345814449727,0.761460944026733,0.222117381918894,0.954088952654232,0.200236930080817,0.215209184270929,0.04198469,0.0974317027077468,0.0712993071695544,0.64585635359116,0.776315789473684,0.640138408304498,0.0864301158921361,0.770784010198507,0.232380952380952,0.958011049723757,0.217776497280946,0.222376770700794
1970,"alosa sapidissima_Atl",7958,314,0.04571982,0.0974317027077468,0.0468914146857999,0.596004021110832,0.710191082802548,0.591313448456306,0.0535415344638166,0.720931157862459,0.31824557617609,0.960542849962302,0.156657524997223,0.179499555926042,0.04198469,0.0974317027077468,0.018262167097883,0.514978864179379,0.676470588235294,0.510838831291235,0.0184755308245994,0.678970311027333,0.118013565381986,0.975004594743613,0.143649171727847,0.134217113950026
1980,"alosa sapidissima_Atl",7268,501,0.04571982,0.0974317027077468,0.0837970320201633,0.709961474958723,0.550898203592814,0.721737845426334,0.107668326076111,0.656213950110714,0.0930011175458807,0.931067694001101,0.122936994547117,0.139573721049308,0.04198469,0.0974317027077468,0.0340722361756863,0.664772727272727,0.506849315068493,0.6721172223402,0.0433746305308162,0.635197731731039,0.167377031535895,0.955560064935065,0.089036084409878,0.108747552039622
1990,"alosa sapidissima_Atl",6435,603,0.04571982,0.0974317027077468,0.118542951269856,0.682517482517483,0.625207296849088,0.688443072702332,0.143689484300871,0.69366587273964,0.90643456636618,0.906449106449106,0.14721241046372,0.1731320252238,0.04198469,0.0974317027077468,0.0637370362552457,0.624293785310734,0.627737226277372,0.62405636638148,0.0748270505306112,0.667987906795631,0.935719331292677,0.935734463276836,0.112629483016095,0.142640234502785
2000,"alosa sapidissima_Atl",6580,584,0.04571982,0.0974317027077468,0.0755944396109674,0.653039513677812,0.551369863013699,0.662941961307538,0.0908365750701022,0.661637581446992,0.102690926220338,0.911246200607903,0.109502200178368,0.102782454738451,0.04198469,0.0974317027077468,0.0673796378388544,0.608431018935978,0.633846153846154,0.606421795183654,0.0769143408625765,0.65459723443669,0.0973073262023458,0.926735798016231,0.0892168458862935,0.112073664069516
2010,"alosa sapidissima_Atl",3867,604,0.04571982,0.0974317027077468,0.0673464816415788,0.573312645461598,0.548013245033113,0.577995709469813,0.0722222868476307,0.615640088652014,0.171559418158375,0.843806568399276,0.134842655858335,0.0577769745313666,0.04198469,0.0974317027077468,0.0628639875426723,0.523875432525952,0.625316455696203,0.507815631262525,0.0619030207239831,0.593182313995079,0.140419480981159,0.863321799307958,0.0847652177503433,0.0591371904833381
1960,"aluterus schoepfii_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"aluterus schoepfii_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"aluterus schoepfii_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"aluterus schoepfii_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"aluterus schoepfii_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"aluterus schoepfii_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"amblyraja radiata_Atl",2091,673,0.32139392,0.371807220815755,0.551734264812978,0.774748923959828,0.931649331352155,0.700282087447109,0.55049354559118,0.87494891618482,0.683373493975904,0.791487326637972,0.558062661684392,0.628987540629214,0.31319821,0.371807220815755,0.541139105206902,0.766298342541436,0.943462897526502,0.685691318327974,0.536434146075647,0.876112051628737,0.692650334075724,0.797790055248619,0.547655042067891,0.626172616149962
1970,"amblyraja radiata_Atl",7958,1986,0.32139392,0.371807220815755,0.534978644850449,0.822945463684343,0.787009063444109,0.834896182183523,0.568154657390966,0.898149740750559,0.751100490504339,0.824830359386781,0.588439765353846,0.631046684611745,0.31319821,0.371807220815755,0.501742842630879,0.804815291306745,0.80789277736411,0.803806734992679,0.538155984698186,0.888197464429737,0.753724480411992,0.810328983642713,0.561472131002978,0.611326256412496
1980,"amblyraja radiata_Atl",7268,1281,0.32139392,0.371807220815755,0.489689398034087,0.850853054485415,0.648711943793911,0.894103891765492,0.513810092666291,0.90675536000653,0.823861290766479,0.853467253714915,0.554642798771147,0.578732354963078,0.31319821,0.371807220815755,0.493289117921984,0.843547077922078,0.700650759219089,0.876435346979531,0.528743336401049,0.900734581425042,0.52972027972028,0.84963474025974,0.552051505178652,0.587171774566392
1990,"amblyraja radiata_Atl",6435,799,0.32139392,0.371807220815755,0.369766309639727,0.843201243201243,0.682102628285357,0.866039744499645,0.431924295243999,0.88927873823827,0.377293081652126,0.875835275835276,0.454200291953468,0.484267659780566,0.31319821,0.371807220815755,0.336412453473945,0.818032015065913,0.739047619047619,0.829170024174053,0.403499976021589,0.878464116240103,0.377122641509434,0.876412429378531,0.416776771063709,0.468593056897822
2000,"amblyraja radiata_Atl",6580,547,0.32139392,0.371807220815755,0.202732644017725,0.828419452887538,0.53199268738574,0.855295872700149,0.255999320578421,0.85040155440022,0.41699604743083,0.916869300911854,0.292517254019166,0.31873833227151,0.31319821,0.371807220815755,0.185779002393153,0.803201082055906,0.601123595505618,0.820833333333333,0.240422281831384,0.83507380480282,0.419936851601263,0.919747520288548,0.256373972924276,0.301154837116442
2010,"amblyraja radiata_Atl",3867,537,0.32139392,0.371807220815755,0.299493994343255,0.832686837341609,0.394785847299814,0.903303303303303,0.298789167501158,0.866140162508878,0.861355406104501,0.861391259374192,0.436082855298004,0.393947750893225,0.31319821,0.371807220815755,0.272917014526632,0.821453287197232,0.419191919191919,0.88532477947073,0.287420869139729,0.85585911237475,0.863274489442714,0.863321799307958,0.41603936150916,0.379218298249112
1960,"ammodytes dubius_Atl",2091,82,0.03925655,0.118509052242462,0.070707387432585,0.576279292204687,0.902439024390244,0.562966650074664,0.0764419735927728,0.794710388617077,0.961244019138756,0.961262553802009,0.131856255066198,0.210196401885086,0.03622097,0.118509052242462,0.0587596863180795,0.550828729281768,0.878787878787879,0.538417431192661,0.0612691968608819,0.78436891854323,0.964068546158098,0.964088397790055,0.130541756490768,0.195470087286715
1970,"ammodytes dubius_Atl",7958,753,0.03925655,0.118509052242462,0.127097883733398,0.583563709474742,0.810092961487384,0.559888965995836,0.13211317353852,0.741298327393641,0.147112882440454,0.905378235737623,0.185203643795474,0.241518627738528,0.03622097,0.118509052242462,0.0957749070280902,0.575629479875023,0.811671087533157,0.558056872037915,0.101017353506998,0.732169870223474,0.104764082071615,0.93071126631134,0.138875707710131,0.199231942287964
1980,"ammodytes dubius_Atl",7268,1199,0.03925655,0.118509052242462,0.151094950455086,0.594386351128233,0.699749791492911,0.573570604712473,0.156581084531296,0.642089559171557,0.335122488301679,0.835030269675289,0.159539962811496,0.183793006805796,0.03622097,0.118509052242462,0.121432926020715,0.557224025974026,0.744783306581059,0.530081300813008,0.120581375511377,0.645885462982124,0.873756850010148,0.87398538961039,0.125345596890312,0.168866478997351
1990,"ammodytes dubius_Atl",6435,527,0.03925655,0.118509052242462,0.0947011582059842,0.524009324009324,0.815939278937381,0.497968855788761,0.0902240979868055,0.730559438268504,0.165443750227621,0.918104118104118,0.197471660334701,0.225566618470698,0.03622097,0.118509052242462,0.075698653541065,0.476224105461394,0.87843137254902,0.450538442273979,0.0661867484234899,0.768887219300442,0.256910306032283,0.939971751412429,0.197577491654745,0.232194034041362
2000,"ammodytes dubius_Atl",6580,661,0.03925655,0.118509052242462,0.107946215118027,0.53145896656535,0.795763993948563,0.501942895759419,0.103005208069873,0.702907941016123,0.12118782219918,0.899544072948328,0.146453851277047,0.200103908267665,0.03622097,0.118509052242462,0.090113054106873,0.488277727682597,0.881028938906752,0.458666666666667,0.0796591335540384,0.732116535126181,0.117761689421587,0.929891794409378,0.155772468829543,0.205231793343403
2010,"ammodytes dubius_Atl",3867,121,0.03925655,0.118509052242462,0.0236848605387704,0.530126713214378,0.669421487603306,0.52562733582488,0.0245472922497735,0.653966986272961,0.126002281616688,0.968709594000517,0.0805935582020702,0.0946592251752725,0.03622097,0.118509052242462,0.0188368015003171,0.473702422145329,0.742424242424242,0.46742209631728,0.0174844666213969,0.657551077345695,0.135951163174394,0.977162629757785,0.0643993455634047,0.0807737249885159
1960,"anarhichas lupus_Atl",2091,124,0.0591309,0.236165999646837,0.134616107852821,0.683405069344811,0.887096774193548,0.670564311133706,0.16424537426688,0.86417009692179,0.941148325358852,0.942132950741272,0.316696440242255,0.368220579686284,0.0529869,0.236165999646837,0.114772397328774,0.658011049723757,0.895833333333333,0.644690781796966,0.137013102051191,0.861088827304551,0.548476454293629,0.947513812154696,0.305255077116337,0.338602950960883
1970,"anarhichas lupus_Atl",7958,582,0.0591309,0.236165999646837,0.220371327471642,0.836768032168887,0.632302405498282,0.852901301518438,0.28723213395519,0.862263885472341,0.926982531104688,0.929002261874843,0.307732890423483,0.376115901568401,0.0529869,0.236165999646837,0.178735496423046,0.821723947803713,0.681114551083591,0.830597889800703,0.242745072606666,0.861350759838704,0.655765287344235,0.941187281749678,0.294656400957433,0.35906051215951
1980,"anarhichas lupus_Atl",7268,335,0.0591309,0.236165999646837,0.10300423190268,0.878370941111723,0.313432835820896,0.905668541756815,0.136745427912756,0.82404485577306,0.525842563991579,0.954045129334067,0.162056490897791,0.176384684421411,0.0529869,0.236165999646837,0.0997319896468806,0.85836038961039,0.393518518518519,0.879668930390492,0.139168735484904,0.81928527636295,0.456354039788875,0.956168831168831,0.159517146845726,0.188048879069426
1990,"anarhichas lupus_Atl",6435,170,0.0591309,0.236165999646837,0.0823632957956264,0.928671328671329,0.223529411764706,0.94780526735834,0.109973256996498,0.827444720905122,0.307058457711443,0.973581973581974,0.117928048549161,0.181563048124297,0.0529869,0.236165999646837,0.0621529835383601,0.913135593220339,0.26,0.928881388621022,0.0908799866373426,0.806031822565092,0.119513591807862,0.976459510357815,0.0985205045157879,0.140247621707265
2000,"anarhichas lupus_Atl",6580,87,0.0591309,0.236165999646837,0.0499299304482833,0.940425531914894,0.241379310344828,0.949792083782535,0.0772649643585654,0.81266120366584,0.0535668951510536,0.98677811550152,0.0809834811358744,0.0977624452854706,0.0529869,0.236165999646837,0.0308436134565542,0.926735798016231,0.235294117647059,0.934777651083238,0.0501183316554309,0.796936973192926,0.0400814997364803,0.988503155996393,0.0638409627027709,0.0797771875026904
2010,"anarhichas lupus_Atl",3867,58,0.0591309,0.236165999646837,0.0444373368550292,0.961468838893199,0.103448275862069,0.974533998424783,0.0564261372103628,0.825544762404831,0.0625552608311229,0.985001292991983,0.0804730601075718,0.103308291023554,0.0529869,0.236165999646837,0.0513510968835326,0.957785467128028,0.153846153846154,0.968782883198878,0.0717914966434101,0.82751890924462,0.0670855148342059,0.986505190311419,0.0772310545692828,0.108883450288366
1960,"anchoa hepsetus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"anchoa hepsetus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"anchoa hepsetus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"anchoa hepsetus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"anchoa hepsetus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"anchoa hepsetus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"anchoa lyolepis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"anchoa lyolepis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"anchoa lyolepis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"anchoa lyolepis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"anchoa lyolepis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"anchoa lyolepis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"anchoa mitchilli_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"anchoa mitchilli_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"anchoa mitchilli_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"anchoa mitchilli_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"anchoa mitchilli_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"anchoa mitchilli_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"ancylopsetta dilecta_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"ancylopsetta dilecta_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"ancylopsetta dilecta_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"ancylopsetta dilecta_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"ancylopsetta dilecta_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"ancylopsetta dilecta_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"ancylopsetta ommata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"ancylopsetta ommata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"ancylopsetta ommata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"ancylopsetta ommata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"ancylopsetta ommata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"ancylopsetta ommata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"antimora rostrata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"antimora rostrata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"antimora rostrata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"antimora rostrata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"antimora rostrata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"antimora rostrata_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"archosargus probatocephalus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"archosargus probatocephalus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
