"decade","sppocean","ntot","npres","thresh","dev.pres","tss","acc","sens","spec","kappa","auc","tssmax","accmax","kappamax","rpb","thresh.gr","dev.pres.gr","tss.gr","acc.gr","sens.gr","spec.gr","kappa.gr","auc.gr","tssmax.gr","accmax.gr","kappamax.gr","rpb.gr"
1960,"acanthostracion quadricornis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"acanthostracion quadricornis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"acanthostracion quadricornis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"acanthostracion quadricornis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"acanthostracion quadricornis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"acanthostracion quadricornis_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"achelous spinimanus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"achelous spinimanus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"achelous spinimanus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"achelous spinimanus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"achelous spinimanus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"achelous spinimanus_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"alectis ciliaris_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"alectis ciliaris_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"alectis ciliaris_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"alectis ciliaris_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"alectis ciliaris_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"alectis ciliaris_Atl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,"alosa aestivalis_Atl",2091,71,0.03394668,0.175867184130426,0.0684129156410412,0.743663318986131,0.661971830985915,0.746534653465347,0.0946531044822417,0.800648445126203,0.966507177033493,0.967479674796748,0.321030414547027,0.331483778159929,0.03037327,0.175867184130426,0.0583452405252773,0.7,0.727272727272727,0.699145299145299,0.0772848894521894,0.820751100751101,0.970149253731343,0.97292817679558,0.350954308849046,0.372688855596956
1970,"alosa aestivalis_Atl",7958,500,0.03394668,0.175867184130426,0.0858768640903277,0.574139230962553,0.804,0.558728881737731,0.0911623138401102,0.753330517565031,0.275488439552939,0.937170143252073,0.234173671383725,0.25202717196406,0.03037327,0.175867184130426,0.05022600096583,0.506156956441831,0.814655172413793,0.49241697062776,0.0483126290956743,0.741017701458351,0.138399115905124,0.957360779268517,0.178317240047131,0.183053696721878
1980,"alosa aestivalis_Atl",7268,783,0.03394668,0.175867184130426,0.13047647687784,0.58599339570721,0.77522349936143,0.563145720894372,0.135791886452251,0.723159841307822,0.392375447288742,0.892267473858008,0.329835023084035,0.301871422631449,0.03037327,0.175867184130426,0.0792094627947555,0.521915584415584,0.820987654320988,0.500868809730669,0.0763865377223284,0.742753215132306,0.238004650179666,0.934253246753247,0.238792518744948,0.24645588093073
1990,"alosa aestivalis_Atl",6435,821,0.03394668,0.175867184130426,0.176457607433217,0.571561771561772,0.867235079171742,0.528322052012825,0.170487452668285,0.784791870159298,0.872552067143301,0.874436674436674,0.343953482455127,0.35586846665559,0.03037327,0.175867184130426,0.105594153572089,0.496468926553672,0.874301675977654,0.461696658097686,0.0933752983843641,0.755297927647169,0.916372202591284,0.916431261770245,0.239293130419776,0.280874734519593
