"","x"
"1","Not enough presences in 1960s for 1 acanthostracion quadricornis_Atl"
"2","Not enough presences in 1960s for 2 achelous spinimanus_Atl"
"3","Not enough presences in 1960s for 3 alectis ciliaris_Atl"
"4","Not enough presences in 1960s for 7 aluterus schoepfii_Atl"
"5","Not enough presences in 1960s for 11 anchoa hepsetus_Atl"
"6","Not enough presences in 1960s for 12 anchoa lyolepis_Atl"
"7","Not enough presences in 1960s for 13 anchoa mitchilli_Atl"
"8","Not enough presences in 1960s for 14 ancylopsetta dilecta_Atl"
"9","Not enough presences in 1960s for 15 ancylopsetta ommata_Atl"
"10","Not enough presences in 1960s for 16 antimora rostrata_Atl"
"11","Not enough presences in 1960s for 17 archosargus probatocephalus_Atl"
"12","Not enough presences in 1960s for 18 arctozenus risso_Atl"
"13","Not enough presences in 1960s for 19 arenaeus cribrarius_Atl"
"14","Not enough presences in 1960s for 21 argopecten gibbus_Atl"
"15","Not enough presences in 1960s for 22 ariopsis felis_Atl"
"16","Not enough presences in 1960s for 24 atlantopandalus propinqvus_Atl"
"17","Not enough presences in 1960s for 25 bagre marinus_Atl"
"18","Not enough presences in 1960s for 26 bairdiella chrysoura_Atl"
"19","Not enough presences in 1960s for 27 balistes capriscus_Atl"
"20","Not enough presences in 1960s for 28 bathypolypus arcticus_Atl"
"21","Not enough presences in 1960s for 29 bellator militaris_Atl"
"22","Not enough presences in 1960s for 30 brevoortia tyrannus_Atl"
"23","Not enough presences in 1960s for 32 calamus leucosteus_Atl"
"24","Not enough presences in 1960s for 33 calamus proridens_Atl"
"25","Not enough presences in 1960s for 34 calappa flammea_Atl"
"26","Not enough presences in 1960s for 35 calappa sulcata_Atl"
"27","Not enough presences in 1960s for 36 callinectes sapidus_Atl"
"28","Not enough presences in 1960s for 37 cancer borealis_Atl"
"29","Not enough presences in 1960s for 38 cancer irroratus_Atl"
"30","Not enough presences in 1960s for 39 caranx crysos_Atl"
"31","Not enough presences in 1960s for 40 caranx hippos_Atl"
"32","Not enough presences in 1960s for 41 carcharhinus acronotus_Atl"
"33","Not enough presences in 1960s for 42 carcharhinus plumbeus_Atl"
"34","Not enough presences in 1960s for 43 caretta caretta_Atl"
"35","Not enough presences in 1960s for 44 centropristis ocyurus_Atl"
