"","x"
"36","Not enough presences in 1960s for 45 centropristis philadelphica_Atl"
"37","Not enough presences in 1960s for 47 centroscyllium fabricii_Atl"
"38","Not enough presences in 1960s for 48 chaceon quinquedens_Atl"
"39","Not enough presences in 1960s for 49 chaetodipterus faber_Atl"
"40","Not enough presences in 1960s for 50 chaetodon ocellatus_Atl"
"41","Not enough presences in 1960s for 51 chauliodus sloani_Atl"
"42","Not enough presences in 1960s for 52 chilomycterus schoepfii_Atl"
"43","Not enough presences in 1960s for 53 chionoecetes opilio_Atl"
"44","Not enough presences in 1960s for 54 chlamys islandica_Atl"
"45","Not enough presences in 1960s for 56 chloroscombrus chrysurus_Atl"
"46","Not enough presences in 1960s for 58 citharichthys macrops_Atl"
"47","Not enough presences in 1960s for 59 citharichthys spilopterus_Atl"
"48","Not enough presences in 1960s for 62 crangon septemspinosa_Atl"
"49","Not enough presences in 1960s for 64 cyclopsetta fimbriata_Atl"
"50","Not enough presences in 1960s for 66 cynoscion nothus_Atl"
"51","Not enough presences in 1960s for 67 cynoscion regalis_Atl"
"52","Not enough presences in 1960s for 69 dasyatis centroura_Atl"
"53","Not enough presences in 1960s for 70 dasyatis sabina_Atl"
"54","Not enough presences in 1960s for 71 dasyatis say_Atl"
"55","Not enough presences in 1960s for 73 decapterus punctatus_Atl"
"56","Not enough presences in 1960s for 74 dichelopandalus leptocerus_Atl"
"57","Not enough presences in 1960s for 75 diplectrum bivittatum_Atl"
"58","Not enough presences in 1960s for 76 diplectrum formosum_Atl"
"59","Not enough presences in 1960s for 78 echeneis naucrates_Atl"
"60","Not enough presences in 1960s for 80 engraulis eurystole_Atl"
"61","Not enough presences in 1960s for 81 epinephelus morio_Atl"
"62","Not enough presences in 1960s for 82 equetus lanceolatus_Atl"
"63","Not enough presences in 1960s for 83 etropus crossotus_Atl"
"64","Not enough presences in 1960s for 84 etropus microstomus_Atl"
"65","Not enough presences in 1960s for 86 eualus fabricii_Atl"
"66","Not enough presences in 1960s for 87 eucinostomus argenteus_Atl"
"67","Not enough presences in 1960s for 88 eucinostomus gula_Atl"
"68","Not enough presences in 1960s for 89 eumicrotremus spinosus_Atl"
"69","Not enough presences in 1960s for 90 farfantepenaeus aztecus_Atl"
"70","Not enough presences in 1960s for 91 farfantepenaeus duorarum_Atl"
"71","Not enough presences in 1960s for 92 fowlerichthys radiosus_Atl"
"72","Not enough presences in 1960s for 95 gymnothorax saxicola_Atl"
"73","Not enough presences in 1960s for 96 gymnura altavela_Atl"
"74","Not enough presences in 1960s for 97 gymnura micrura_Atl"
"75","Not enough presences in 1960s for 98 gymothorax igromargiatus_Atl"
"76","Not enough presences in 1960s for 99 haemulon aurolineatum_Atl"
"77","Not enough presences in 1960s for 100 haemulon plumierii_Atl"
"78","Not enough presences in 1960s for 101 halieutichthys aculeatus_Atl"
"79","Not enough presences in 1960s for 104 hepatus epheliticus_Atl"
"80","Not enough presences in 1960s for 105 hippocampus erectus_Atl"
"81","Not enough presences in 1960s for 111 kathetostoma albigutta_Atl"
"82","Not enough presences in 1960s for 112 lagocephalus laevigatus_Atl"
"83","Not enough presences in 1960s for 113 lagodon rhomboides_Atl"
"84","Not enough presences in 1960s for 114 larimus fasciatus_Atl"
"85","Not enough presences in 1960s for 115 lebbeus groenlandicus_Atl"
"86","Not enough presences in 1960s for 116 lebbeus polaris_Atl"
"87","Not enough presences in 1960s for 117 leiostomus xanthurus_Atl"
"88","Not enough presences in 1960s for 118 lepophidium jeannae_Atl"
"89","Not enough presences in 1960s for 125 limulus polyphemus_Atl"
"90","Not enough presences in 1960s for 127 lithodes maja_Atl"
"91","Not enough presences in 1960s for 129 lolliguncula brevis_Atl"
"92","Not enough presences in 1960s for 131 lumpenus lampretaeformis_Atl"
"93","Not enough presences in 1960s for 132 lutjanus campechanus_Atl"
"94","Not enough presences in 1960s for 133 lutjanus synagris_Atl"
"95","Not enough presences in 1960s for 134 lycodes reticulatus_Atl"
"96","Not enough presences in 1960s for 135 macrourus berglax_Atl"
"97","Not enough presences in 1960s for 137 mallotus villosus_Atl"
"98","Not enough presences in 1960s for 142 menticirrhus americanus_Atl"
"99","Not enough presences in 1960s for 143 menticirrhus littoralis_Atl"
"100","Not enough presences in 1960s for 144 menticirrhus saxatilis_Atl"
"101","Not enough presences in 1960s for 147 micropogonias undulatus_Atl"
"102","Not enough presences in 1960s for 148 monacanthus ciliatus_Atl"
"103","Not enough presences in 1960s for 149 morone saxatilis_Atl"
"104","Not enough presences in 1960s for 150 mullus auratus_Atl"
"105","Not enough presences in 1960s for 152 myliobatis freminvillii_Atl"
"106","Not enough presences in 1960s for 154 myoxocephalus scorpius_Atl"
"107","Not enough presences in 1960s for 156 nemichthys scolopaceus_Atl"
"108","Not enough presences in 1960s for 157 neomerinthe hemingwayi_Atl"
"109","Some decades undefined for 159 NO CATCH"
"110","Not enough presences in 1960s for 159 NO CATCH"
"111","Not enough (>=6) unique levels in first decade presence set for 159 NO CATCH . Won't fit models"
"112","Not enough presences in 1960s for 160 octopus vulgaris_Atl"
"113","Not enough presences in 1960s for 161 ogcocephalus parvus_Atl"
"114","Not enough presences in 1960s for 162 ophidion grayi_Atl"
"115","Not enough presences in 1960s for 163 ophidion holbrookii_Atl"
"116","Not enough presences in 1960s for 164 ophidion marginatum_Atl"
"117","Not enough presences in 1960s for 165 ophidion welshi_Atl"
"118","Not enough presences in 1960s for 166 opisthonema oglinum_Atl"
"119","Not enough presences in 1960s for 167 orthopristis chrysoptera_Atl"
"120","Not enough presences in 1960s for 168 ovalipes ocellatus_Atl"
"121","Not enough presences in 1960s for 169 ovalipes stephensoni_Atl"
"122","Not enough presences in 1960s for 170 pagrus pagrus_Atl"
"123","Not enough presences in 1960s for 171 pandalus borealis_Atl"
"124","Not enough presences in 1960s for 172 pandalus montagui_Atl"
"125","Not enough presences in 1960s for 173 paralichthys albigutta_Atl"
"126","Not enough presences in 1960s for 175 paralichthys lethostigma_Atl"
"127","Not enough presences in 1960s for 176 paralichthys squamilentus_Atl"
"128","Not enough presences in 1960s for 177 pareques umbrosus_Atl"
"129","Not enough presences in 1960s for 178 pasiphaea multidentata_Atl"
"130","Not enough presences in 1960s for 179 peprilus paru_Atl"
"131","Not enough presences in 1960s for 184 pogonias cromis_Atl"
"132","Not enough presences in 1960s for 186 polymixia lowei_Atl"
"133","Not enough presences in 1960s for 188 pontinus longispinis_Atl"
"134","Not enough presences in 1960s for 189 pontophilus norvegicus_Atl"
"135","Not enough presences in 1960s for 190 porichthys plectrodon_Atl"
"136","Not enough presences in 1960s for 191 priacanthus arenatus_Atl"
"137","Not enough presences in 1960s for 192 prionotus alatus_Atl"
"138","Not enough presences in 1960s for 195 prionotus longispinosus_Atl"
"139","Not enough presences in 1960s for 196 prionotus ophryas_Atl"
"140","Not enough presences in 1960s for 197 prionotus paralatus_Atl"
"141","Not enough presences in 1960s for 198 prionotus roseus_Atl"
"142","Not enough presences in 1960s for 199 prionotus rubio_Atl"
"143","Not enough presences in 1960s for 200 prionotus scitulus_Atl"
"144","Not enough presences in 1960s for 201 prionotus stearnsi_Atl"
"145","Not enough presences in 1960s for 202 prionotus tribulus_Atl"
"146","Not enough presences in 1960s for 203 pristigenys alta_Atl"
"147","Not enough presences in 1960s for 204 pristipomoides aquilonaris_Atl"
"148","Not enough presences in 1960s for 206 rachycentron canadum_Atl"
"149","Not enough presences in 1960s for 208 reinhardtius hippoglossoides_Atl"
"150","Not enough presences in 1960s for 209 rhinoptera bonasus_Atl"
"151","Not enough presences in 1960s for 210 rhizoprionodon terraenovae_Atl"
"152","Not enough presences in 1960s for 211 rhomboplites aurorubens_Atl"
"153","Not enough presences in 1960s for 212 sardinella aurita_Atl"
"154","Not enough presences in 1960s for 213 saurida brasiliensis_Atl"
"155","Not enough presences in 1960s for 214 scomber japonicus_Atl"
"156","Not enough presences in 1960s for 217 scomberomorus cavalla_Atl"
"157","Not enough presences in 1960s for 218 scomberomorus maculatus_Atl"
"158","Not enough presences in 1960s for 220 scorpaena brasiliensis_Atl"
"159","Not enough presences in 1960s for 221 scorpaena calcarata_Atl"
"160","Not enough presences in 1960s for 223 scyllarides nodifer_Atl"
"161","Not enough presences in 1960s for 225 selar crumenophthalmus_Atl"
"162","Not enough presences in 1960s for 226 selene setapinnis_Atl"
"163","Not enough presences in 1960s for 227 selene vomer_Atl"
"164","Not enough presences in 1960s for 228 seriola dumerili_Atl"
"165","Not enough presences in 1960s for 229 serranus atrobranchus_Atl"
"166","Not enough presences in 1960s for 230 serranus phoebe_Atl"
"167","Not enough presences in 1960s for 231 sicyonia brevirostris_Atl"
"168","Not enough presences in 1960s for 232 sphoeroides dorsalis_Atl"
"169","Not enough presences in 1960s for 234 sphoeroides spengleri_Atl"
"170","Not enough presences in 1960s for 235 sphyraena borealis_Atl"
"171","Not enough presences in 1960s for 236 sphyraena guachancho_Atl"
"172","Not enough presences in 1960s for 237 sphyrna tiburo_Atl"
"173","Not enough presences in 1960s for 240 stellifer lanceolatus_Atl"
"174","Not enough presences in 1960s for 243 syacium gunteri_Atl"
"175","Not enough presences in 1960s for 244 syacium papillosum_Atl"
"176","Not enough presences in 1960s for 245 symphurus civitatum_Atl"
"177","Not enough presences in 1960s for 246 symphurus diomedeanus_Atl"
"178","Not enough presences in 1960s for 247 symphurus plagiusa_Atl"
"179","Not enough presences in 1960s for 248 syngnathus fuscus_Atl"
"180","Not enough presences in 1960s for 249 synodus foetens_Atl"
"181","Not enough presences in 1960s for 250 synodus intermedius_Atl"
"182","Not enough presences in 1960s for 251 synodus poeyi_Atl"
"183","Not enough presences in 1960s for 253 trachinocephalus myops_Atl"
"184","Not enough presences in 1960s for 254 trachinotus carolinus_Atl"
"185","Not enough presences in 1960s for 255 trachurus lathami_Atl"
"186","Not enough presences in 1960s for 256 trichiurus lepturus_Atl"
"187","Not enough presences in 1960s for 258 trinectes maculatus_Atl"
"188","Not enough presences in 1960s for 260 upeneus parvus_Atl"
"189","Not enough presences in 1960s for 262 urophycis floridana_Atl"
